Filled container:
Container contains 10000 elements.
1: It is Fish : name = Imahd, weight = 999107, value = 0.000483, place = OCEAN
2: It is Bird : name = Ahwca, weight = 999911, value = 0.000484, fly away = TRUE
3: It is Beast: name = Fjbbp, weight = 999491, value = 0.000484, type = HERBIVORES
4: It is Beast: name = Ijafh, weight = 994543, value = 0.000485, type = HERBIVORES
5: It is Fish : name = Habua, weight = 990722, value = 0.000486, place = RIVER
6: It is Fish : name = Fuaec, weight = 991817, value = 0.000488, place = LAKE
7: It is Beast: name = Edubb, weight = 986431, value = 0.000489, type = HERBIVORES
8: It is Fish : name = Crfae, weight = 982830, value = 0.000489, place = RIVER
9: It is Fish : name = Bckcl, weight = 977835, value = 0.000490, place = RIVER
10: It is Bird : name = Qdfbl, weight = 995795, value = 0.000491, fly away = TRUE
11: It is Bird : name = Igime, weight = 995531, value = 0.000493, fly away = TRUE
12: It is Fish : name = Batoh, weight = 997970, value = 0.000495, place = OCEAN
13: It is Beast: name = Gicqi, weight = 994084, value = 0.000496, type = PREDATOR
14: It is Fish : name = Ndfbn, weight = 983928, value = 0.000496, place = SEA
15: It is Beast: name = Akefp, weight = 981883, value = 0.000496, type = PREDATOR
16: It is Fish : name = Njlbi, weight = 997750, value = 0.000496, place = RIVER
17: It is Bird : name = Klide, weight = 983904, value = 0.000497, fly away = FALSE
18: It is Bird : name = Esbaf, weight = 967776, value = 0.000497, fly away = TRUE
19: It is Bird : name = Nbjnd, weight = 989453, value = 0.000497, fly away = FALSE
20: It is Beast: name = Pjcld, weight = 991107, value = 0.000497, type = HERBIVORES
21: It is Beast: name = Wbdlf, weight = 994829, value = 0.000498, type = INSECTIVORES
22: It is Fish : name = Deenu, weight = 998129, value = 0.000498, place = SEA
23: It is Fish : name = Cfckd, weight = 953823, value = 0.000498, place = LAKE
24: It is Bird : name = Qebcg, weight = 967678, value = 0.000498, fly away = FALSE
25: It is Fish : name = Djdki, weight = 975526, value = 0.000498, place = RIVER
26: It is Bird : name = Lclcj, weight = 979529, value = 0.000498, fly away = TRUE
27: It is Beast: name = Ilcij, weight = 985168, value = 0.000498, type = INSECTIVORES
28: It is Fish : name = Cbpid, weight = 965727, value = 0.000499, place = RIVER
29: It is Bird : name = Pbbvi, weight = 999347, value = 0.000499, fly away = TRUE
30: It is Fish : name = Hdpgk, weight = 989245, value = 0.000499, place = RIVER
31: It is Fish : name = Fdhcg, weight = 952897, value = 0.000500, place = LAKE
32: It is Bird : name = Tdggk, weight = 993982, value = 0.000500, fly away = FALSE
33: It is Fish : name = Bbdrf, weight = 959683, value = 0.000500, place = SEA
34: It is Beast: name = Quaak, weight = 996450, value = 0.000501, type = PREDATOR
35: It is Fish : name = Jvkeb, weight = 994301, value = 0.000501, place = RIVER
36: It is Fish : name = Byipa, weight = 999559, value = 0.000501, place = OCEAN
37: It is Beast: name = Bbsgm, weight = 979253, value = 0.000501, type = INSECTIVORES
38: It is Bird : name = Paohb, weight = 976737, value = 0.000502, fly away = FALSE
39: It is Beast: name = Eamdz, weight = 989019, value = 0.000503, type = HERBIVORES
40: It is Fish : name = Ifdhr, weight = 980758, value = 0.000503, place = OCEAN
41: It is Fish : name = Admdz, weight = 986698, value = 0.000503, place = SEA
42: It is Beast: name = Eekiu, weight = 992355, value = 0.000503, type = PREDATOR
43: It is Bird : name = Dkpdb, weight = 964188, value = 0.000503, fly away = FALSE
44: It is Beast: name = Pggld, weight = 981779, value = 0.000503, type = INSECTIVORES
45: It is Beast: name = Cucax, weight = 993670, value = 0.000503, type = HERBIVORES
46: It is Bird : name = Bgadu, weight = 959563, value = 0.000503, fly away = FALSE
47: It is Beast: name = Xafma, weight = 978819, value = 0.000504, type = PREDATOR
48: It is Beast: name = Ekgui, weight = 994675, value = 0.000504, type = HERBIVORES
49: It is Beast: name = Kvqbc, weight = 997688, value = 0.000504, type = PREDATOR
50: It is Fish : name = Oiacy, weight = 993469, value = 0.000504, place = RIVER
51: It is Fish : name = Vdead, weight = 958865, value = 0.000505, place = RIVER
52: It is Bird : name = Obzal, weight = 996574, value = 0.000506, fly away = FALSE
